Taxon_Clements,Taxon_BirdTree
Bubo africanus,Bubo africanus
Ketupa shelleyi,Bubo shelleyi
Athene noctua,Athene noctua
Strix aluco,Strix aluco
Apus apus,Apus apus
Apus melba,Tachymarptis melba
Merops bulocki,Merops bulocki
Phoeniculus purpureus,Phoeniculus purpureus
Tricholaema leucomelas,Tricholaema leucomelas
Lybius torquatus,Lybius torquatus
Trachyphonus darnaudii,Trachyphonus darnaudii
Indicator indicator,Indicator indicator
Geocolaptes olivaceus,Geocolaptes olivaceus
Eremopterix leucotis,Eremopterix leucotis
Pycnonotus capensis,Pycnonotus capensis
Saxicola torquatus,Saxicola torquatus
Oenanthe leucopyga,Oenanthe leucopyga
Turdus merula,Turdus merula
Turdus torquatus,Turdus torquatus
Muscicapa striata,Muscicapa striata
Platysteira tonsa,Platysteira tonsa
Platysteira peltata,Platysteira peltata
Lamprotornis pulcher,Lamprotornis pulcher
Lamprotornis bicolor,Spreo bicolor
Passer luteus,Passer luteus
Ploceus cucullatus,Ploceus cucullatus
Mandingoa nitidula,Mandingoa nitidula
Uraeginthus angolensis,Uraeginthus angolensis
Lagonosticta senegala,Lagonosticta senegala
Amadina fasciata,Amadina fasciata
Pterodroma arminjoniana,Pterodroma arminjoniana
Dendrocygna bicolor,Dendrocygna bicolor
Dendrocygna viduata,Dendrocygna viduata
Accipiter francesiae,Accipiter francesiae
Falco punctatus,Falco punctatus
Falco araeus,Falco araea
Dryolimnas cuvieri,Dryolimnas cuvieri
Thalasseus bergii,Sterna bergii
Onychoprion anaethetus,Sterna anaethetus
Nesoenas mayeri,Nesoenas mayeri
Psittacula krameri,Psittacula krameri
Psittacula eques,Psittacula eques
Lalage typica,Coracina typica
Hypsipetes crassirostris,Hypsipetes crassirostris
Monticola sharpei,Monticola sharpei
Terpsiphone corvina,Terpsiphone corvina
Dicrurus aldabranus,Dicrurus aldabranus
Foudia sechellarum,Foudia sechellarum
Foudia rubra,Foudia rubra
Lepidopygia nana,Lonchura nana
Lepidothrix coronata,Lepidothrix coronata
Chiroxiphia lanceolata,Chiroxiphia lanceolata
Pipra filicauda,Pipra filicauda
Hydrobates pelagicus,Hydrobates pelagicus
Gulosus aristotelis,Phalacrocorax aristotelis
Microcarbo africanus,Phalacrocorax africanus
Anhinga melanogaster,Anhinga melanogaster
Anhinga anhinga,Anhinga anhinga
Pelecanus onocrotalus,Pelecanus onocrotalus
Pelecanus crispus,Pelecanus crispus
Ixobrychus minutus,Ixobrychus minutus
Ardea alba,Casmerodius albus
Ardea cinerea,Ardea cinerea
Ardea purpurea,Ardea purpurea
Ciconia nigra,Ciconia nigra
Geronticus eremita,Geronticus eremita
Platalea leucorodia,Platalea leucorodia
Cygnus cygnus,Cygnus cygnus
Anser fabalis,Anser fabalis
Anser brachyrhynchus,Anser brachyrhynchus
Anser erythropus,Anser erythropus
Anser anser,Anser anser
Branta leucopsis,Branta leucopsis
Branta bernicla,Branta bernicla
Tadorna ferruginea,Tadorna ferruginea
Aix galericulata,Aix galericulata
Mareca penelope,Anas penelope
Spatula querquedula,Anas querquedula
Aythya nyroca,Aythya nyroca
Clangula hyemalis,Clangula hyemalis
Melanitta nigra,Melanitta nigra
Melanitta fusca,Melanitta fusca
Mergellus albellus,Mergellus albellus
Oxyura jamaicensis,Oxyura jamaicensis
Milvus milvus,Milvus milvus
Haliaeetus albicilla,Haliaeetus albicilla
Aegypius monachus,Aegypius monachus
Accipiter nisus,Accipiter nisus
Accipiter badius,Accipiter badius
Accipiter brevipes,Accipiter brevipes
Buteo buteo,Buteo buteo
Falco naumanni,Falco naumanni
Falco vespertinus,Falco vespertinus
Falco subbuteo,Falco subbuteo
Falco eleonorae,Falco eleonorae
Falco cherrug,Falco cherrug
Falco rusticolus,Falco rusticolus
Tetrastes bonasia,Bonasa bonasia
Lyrurus tetrix,Tetrao tetrix
Lyrurus mlokosiewiczi,Tetrao mlokosiewiczi
Tetrao urogallus,Tetrao urogallus
Tetraogallus caspius,Tetraogallus caspius
Alectoris graeca,Alectoris graeca
Alectoris rufa,Alectoris rufa
Pternistis bicalcaratus,Francolinus bicalcaratus
